v4_0,calendar-years,Time,uk-only,Geography,adjustment_codelist,Adjustment,freq_codelist,Freq,refarea_codelist,RefArea
66196,2017,2017,K02000001,United Kingdom,S1,S1,D614,D614,D,D
66294,2018,2018,K02000001,United Kingdom,S1,S1,D614,D614,D,D
75472,2011,2011,K02000001,United Kingdom,S12,S12,D614,D614,C,C
65766,2012,2012,K02000001,United Kingdom,S12,S12,D614,D614,C,C
63260,2013,2013,K02000001,United Kingdom,S12,S12,D614,D614,C,C
79242,2014,2014,K02000001,United Kingdom,S12,S12,D614,D614,C,C
72391,2015,2015,K02000001,United Kingdom,S12,S12,D614,D614,C,C
75297,2016,2016,K02000001,United Kingdom,S12,S12,D614,D614,C,C
66196,2017,2017,K02000001,United Kingdom,S12,S12,D614,D614,C,C
66294,2018,2018,K02000001,United Kingdom,S12,S12,D614,D614,C,C
75472,2011,2011,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
65766,2012,2012,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
63260,2013,2013,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
79242,2014,2014,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
72391,2015,2015,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
75297,2016,2016,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
66196,2017,2017,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
66294,2018,2018,K02000001,United Kingdom,S12Q,S12Q,D614,D614,C,C
75472,2011,2011,K02000001,United Kingdom,S14,S14,D614,D614,D,D
65766,2012,2012,K02000001,United Kingdom,S14,S14,D614,D614,D,D
63260,2013,2013,K02000001,United Kingdom,S14,S14,D614,D614,D,D
79242,2014,2014,K02000001,United Kingdom,S14,S14,D614,D614,D,D
72391,2015,2015,K02000001,United Kingdom,S14,S14,D614,D614,D,D
75297,2016,2016,K02000001,United Kingdom,S14,S14,D614,D614,D,D
66196,2017,2017,K02000001,United Kingdom,S14,S14,D614,D614,D,D
66294,2018,2018,K02000001,United Kingdom,S14,S14,D614,D614,D,D
75472,2011,2011,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
65766,2012,2012,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
63260,2013,2013,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
79242,2014,2014,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
72391,2015,2015,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
75297,2016,2016,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
66196,2017,2017,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
66294,2018,2018,K02000001,United Kingdom,S1M,S1M,D614,D614,D,D
0,2011,2011,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2012,2012,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2013,2013,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2014,2014,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2015,2015,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2016,2016,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2017,2017,K02000001,United Kingdom,S2,S2,D614,D614,D,D
0,2018,2018,K02000001,United Kingdom,S2,S2,D614,D614,D,D
